node_id,base_stock,safety_stock
N000261,361085318.84364915,2392709.5674904604
N000276,149230031.74998814,1298486.769008931
N000562,44907.5380483291,1767.804406413088
N000246,2146853567.8931885,17840892.762694333
N000429,3636868.6210579597,60495.06339877758
N000767,292.38456129849567,13.27581900089399
N000854,0.0,0.0
N000508,15568176.016628766,112682.79482151654
N000026,673840962.5458078,20482467.58198456
N000344,0.0,0.0
N000591,1048256.8538133712,17765.074137716678
N000839,316.8270918998382,78.23279319106204
N000532,4468817.023062227,60224.45641872161
N000976,183.35718758353372,10.682234431570409
N000041,12248914279.459665,67436771.55237116
N000368,0.0,0.0
N000089,385340478.42358875,3879714.007850436
N000196,126272875.74061695,1827402.4684667876
N000466,0.0,0.0
N000407,77663.72101285504,4088.7014206335025
N000618,105449.93890062155,2889.984899150882
N000440,270348.9444691054,5815.967196802103
N000355,41058740.23434354,490621.3114564625
N000227,1647295814.1739917,17372874.838236533
N000820,169.4241662423403,70.10302820585862
N000571,1648980.9547454277,18959.85493561487
N000039,41214456498.63329,225048019.36067396
N000272,74650623.83930339,1264956.7157913009
N000282,9385823.217772301,67225.53198466262
N000463,219211.79908647502,6990.896676968867
N000176,1804013740.427004,28579033.228763748
N000681,15965.187317937349,462.73322287327335
N000656,251141.74043906343,3848.916757978843
N000228,81266966.47055203,3081910.415710548
N000385,4579558.817806821,71960.08824645611
N000908,0.0,0.0
N000992,0.0,0.0
N000556,0.0,0.0
N000258,120558506.64388978,3907341.5426987302
N000475,67074.44622646754,2217.4157380551137
N000186,671166709.1750104,6143698.504977583
N000125,373204691.8239722,4240257.303583964
N000985,0.0,0.0
N000970,326.9100075316191,25.066061352146292
N000044,173807050.05179664,1881145.342914641
N000302,2546101.968223819,48607.614863098956
N000309,86664066.91545185,505683.04004606185
N000254,28762211.41544799,245975.51469980218
N000719,0.0,0.0
N000057,11469842054.756456,130552476.49612299
N000022,139580988.70684603,1056293.1129673729
N000740,69343.85609081695,3476.5693721203615
N000297,296955182.8386132,1980331.1876032385
N000870,3537.4444884080276,279.0318488531882
N000197,39800037.277030915,1396668.7966775617
N000153,1122740295.98474,24554639.67378699
N000447,342324.0919850425,13728.305599031819
N000956,0.0,0.0
N000441,5215757.546049382,89989.64384812758
N000090,0.0,0.0
N000561,32861.75638912387,3651.3021018950917
N000380,26610022.715629824,445272.87723892793
N000873,0.0,0.0
N000628,15998.959855541718,541.0262683121242
N000588,936304.2407374776,12263.663214754726
N000009,2347177421.5553017,65277566.286109746
N000190,510610163.68514884,3776077.149044336
N000435,11084908.653695928,131909.9804927541
N000460,0.0,0.0
N000610,22919.28011893504,1746.6926574867045
N000286,2773064.3401161106,53377.483364241336
N000006,52482769.49065093,669683.383434771
N000052,2923041543.7465563,29453902.571388155
N000937,1056.3530698412596,18.003126035545808
N000243,95791383.64602333,728393.4060665595
N000947,0.0,0.0
N000953,487.5729928088096,7.19894466877879
N000184,255650.0609794893,11177.376637581214
N000489,180744.55504247308,3694.4951152999993
N000771,190557.70040034445,5650.2296018481875
N000833,8178.8953811763095,734.0237915938017
N000741,0.0,0.0
N000338,2550778.390883636,69695.09893736824
N000986,0.0,0.0
N000686,155575.70858222194,4391.222990053277
N000070,1821597058.416962,34089414.71563325
N000962,0.0,0.0
N000164,870431480.8957152,7704307.913998432
N000523,128875.91409949043,5054.152050444382
N000688,19147.298091256947,681.0600274822436
N000750,55258.92070848364,1796.4441007650628
N000459,475138.5495217435,12118.21925891464
N000263,48644675.04771597,673727.1545261698
N000079,1581157876.705737,10327186.682227764
N000866,2525.06809116944,227.2390113451928
N000308,136849753.0654394,2145933.198613869
N000114,264285204.72880638,4965428.495075717
N000425,25578633.293445922,569270.6170332993
N000109,539197808.9693564,5783214.844443708
N000795,0.0,0.0
N000949,87.4447984363238,40.950422987678
N000720,864.1951396755254,42.34796298539122
N000730,88505.5854757313,1998.6708501970177
N000894,0.0,0.0
N000961,1142.6839067661388,68.5482910695204
N000084,552580874.422674,3955763.5872089155
N000859,244.96283230616567,78.94229608428748
N000169,35721176.27931871,242299.29614877625
N000743,7979.528804763736,264.84793344258276
N000497,27573263.464223858,717634.6375135451
N000631,0.0,0.0
N000002,10613262874.984041,76188110.31104155
N000437,45548326.33400781,338669.10481481144
N000806,51583.79788801337,1336.323459370939
N000617,334725.7379783138,5745.423462901525
N000450,222293.68401089843,12790.894848419533
N000209,730557801.41494,7440616.289344068
N000301,196009154.30398086,3192240.8511404525
N000464,2079626.4487744903,49683.81263989054
